Geoname_ID;Name;ASCII_Name;State_Code;State;Coordinates
752083;Almus;Almus;TR;Turkey;40.37583, 36.90444
6692526;Ölüdeniz;OEluedeniz;TR;Turkey;36.56674, 29.14467
10636468;Kürecik;Kurecik;TR;Turkey;38.33675, 37.74142
3573989;Paradise;Paradise;TT;Trinidad and Tobago;10.65298, -61.36298
2110302;Toga Village;Toga Village;TV;Tuvalu;-6.28764, 176.31472
757472;Szastarka;Szastarka;PL;Poland;50.85527, 22.31971
757850;Suchowola;Suchowola;PL;Poland;53.57753, 23.10596
758853;Słupiec;Slupiec;PL;Poland;50.32787, 21.19374
759317;Siemiechów;Siemiechow;PL;Poland;49.85359, 20.90595
759398;Siedliska;Siedliska;PL;Poland;49.95409, 21.94742
759603;Sandomierz;Sandomierz;PL;Poland;50.68265, 21.74898
759895;Rybno;Rybno;PL;Poland;52.24278, 20.10301
759981;Rusinów;Rusinow;PL;Poland;51.43678, 20.58701
760308;Rossosz;Rossosz;PL;Poland;51.85836, 23.1374
760727;Radymno;Radymno;PL;Poland;49.9472, 22.82375
760783;Radłów;Radlow;PL;Poland;50.08419, 20.84967
761085;Przybyszówka;Przybyszowka;PL;Poland;50.04788, 21.92579
761921;Podegrodzie;Podegrodzie;PL;Poland;49.57688, 20.58855
667548;Scutelnici;Scutelnici;RO;Romania;44.85, 26.91667
667556;Scurtești;Scurtesti;RO;Romania;45.23759, 25.90264
667759;Săveni;Saveni;RO;Romania;44.6, 27.65
667763;Săvădisla;Savadisla;RO;Romania;46.68333, 23.45
667873;Satu Mare;Satu Mare;RO;Romania;47.79926, 22.86255
667900;Satchinez;Satchinez;RO;Romania;45.9375, 21.04056
667948;Săruleşti;Sarulesti;RO;Romania;45.5, 26.75
668129;Salonta;Salonta;RO;Romania;46.8, 21.65
668226;Sălătrucu;Salatrucu;RO;Romania;45.33333, 24.51667
668693;Romos;Romos;RO;Romania;45.83333, 23.28333
669037;Recea Cristur;Recea Cristur;RO;Romania;47.06667, 23.53333
669322;Racoviţa;Racovita;RO;Romania;45.41667, 24.31667
669540;Prundu Bârgăului;Prundu Bargaului;RO;Romania;47.21975, 24.74123
669726;Prăjești;Prajesti;RO;Romania;46.65469, 26.97631
669992;Poienile-Mogoş;Poienile-Mogos;RO;Romania;46.28333, 23.28333
670222;Poeni;Poeni;RO;Romania;44.4, 25.33333
670468;Plopeni;Plopeni;RO;Romania;43.95089, 28.19452
670552;Plătăreşti;Plataresti;RO;Romania;44.35, 26.36667
670957;Petriș;Petris;RO;Romania;47.10301, 24.62314
671136;Pericei;Pericei;RO;Romania;47.23333, 22.88333
671150;Peregu Mic;Peregu Mic;RO;Romania;46.25021, 20.94885
671455;Paleu;Paleu;RO;Romania;47.11531, 21.95929
671543;Pădurea Neagră;Padurea Neagra;RO;Romania;47.16554, 22.41323
671615;Ostrovu Mare;Ostrovu Mare;RO;Romania;44.37931, 22.51581
671636;Ostrov;Ostrov;RO;Romania;44.11667, 27.36667
671706;Orlea Nouă;Orlea Noua;RO;Romania;43.75522, 24.35834
671751;Oraşu Nou;Orasu Nou;RO;Romania;47.83333, 23.28333
671761;Orășeni-Deal;Oraseni-Deal;RO;Romania;47.67597, 26.67671
671776;Oprişor;Oprisor;RO;Romania;44.28333, 23.08333
672151;Novaci;Novaci;RO;Romania;45.18333, 23.66667
672364;Negri;Negri;RO;Romania;46.7, 26.96667
672456;Neaua;Neaua;RO;Romania;46.48333, 24.83333
672654;Munteni Buzău;Munteni Buzau;RO;Romania;44.63333, 26.98333
672669;Muntele Mic;Muntele Mic;RO;Romania;45.38333, 22.33333
672680;Muncelu de Sus;Muncelu de Sus;RO;Romania;47.12384, 26.73518
672757;Motru;Motru;RO;Romania;44.80333, 22.97194
672902;Moldoveni;Moldoveni;RO;Romania;44.71425, 26.51879
673332;Milaş;Milas;RO;Romania;46.81667, 24.43333
